City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Burnie,AU,2021-07-09 21:46:04,-41.0667,145.9167,41.92,77,31,4.14,scattered clouds
60,Taoudenni,ML,2021-07-09 21:46:05,22.6783,-3.9836,97.88,32,100,20.04,overcast clouds
61,Kaitangata,NZ,2021-07-09 21:46:05,-46.2817,169.8464,41.94,67,72,15.82,broken clouds
62,Busselton,AU,2021-07-09 21:46:05,-33.65,115.3333,43.05,76,54,7.49,broken clouds
63,Zenzeli,RU,2021-07-09 21:46:06,45.9241,47.0474,79.29,25,36,5.57,scattered clouds
64,Longyearbyen,SJ,2021-07-09 21:46:06,78.2186,15.6401,42.64,75,75,13.8,broken clouds
65,Tonami,JP,2021-07-09 21:46:06,37.0013,137.7272,77.77,92,93,4.43,overcast clouds
66,Coihaique,CL,2021-07-09 21:46:06,-45.5752,-72.0662,38.01,93,90,9.22,light rain
67,Santo Tomas,PH,2021-07-09 21:46:07,14.1079,121.1414,80.85,91,54,4.25,broken clouds
68,Hilo,US,2021-07-09 21:46:07,19.7297,-155.09,81.81,66,75,6.91,broken clouds
69,Chokurdakh,RU,2021-07-09 21:46:07,70.6333,147.9167,42.93,92,100,15.17,moderate rain
70,Puerto Ayora,EC,2021-07-09 21:45:28,-0.7393,-90.3518,78.76,88,73,7.0,broken clouds
71,Arraial Do Cabo,BR,2021-07-09 21:42:35,-22.9661,-42.0278,69.76,88,20,5.75,few clouds
72,Evensk,RU,2021-07-09 21:46:08,61.95,159.2333,48.67,93,100,8.7,overcast clouds
73,Berezovyy,RU,2021-07-09 21:46:08,51.6667,135.7,71.33,81,50,1.19,scattered clouds
74,Cabedelo,BR,2021-07-09 21:46:09,-6.9811,-34.8339,77.67,80,38,11.1,scattered clouds
75,Ancud,CL,2021-07-09 21:46:09,-41.8697,-73.8203,46.22,71,16,18.25,light rain
76,Bambous Virieux,MU,2021-07-09 21:46:09,-20.3428,57.7575,72.21,68,40,16.11,scattered clouds
77,Barrow,US,2021-07-09 21:46:10,71.2906,-156.7887,35.62,87,90,9.22,overcast clouds
78,Coquimbo,CL,2021-07-09 21:46:10,-29.9533,-71.3436,58.73,67,0,10.36,clear sky
79,Hongjiang,CN,2021-07-09 21:46:10,27.11,109.9956,76.12,87,88,4.7,overcast clouds
80,Luba,GQ,2021-07-09 21:46:11,3.4568,8.5547,76.89,85,91,6.08,overcast clouds
81,Pyapon,MM,2021-07-09 21:46:11,16.2833,95.6833,77.5,91,91,3.87,overcast clouds
82,Kholm,RU,2021-07-09 21:46:11,59.2667,32.85,67.3,96,22,3.98,few clouds
83,Touros,BR,2021-07-09 21:46:12,-5.1989,-35.4608,79.7,78,17,12.5,few clouds
84,Tawang,IN,2021-07-09 21:46:12,27.5833,91.8667,56.44,93,100,2.15,overcast clouds
85,Cognac,FR,2021-07-09 21:46:12,45.5,-0.25,62.2,77,0,0.0,clear sky
86,Porto Novo,BJ,2021-07-09 21:46:13,6.4965,2.6036,78.62,84,100,8.1,overcast clouds
87,Poum,NC,2021-07-09 21:46:13,-20.2333,164.0167,72.48,72,44,12.19,scattered clouds
88,Bluff,NZ,2021-07-09 21:46:13,-46.6,168.3333,45.77,70,99,26.42,overcast clouds
89,Bereda,ES,2021-07-09 21:46:14,43.2686,-7.5406,56.95,96,0,1.61,clear sky
90,Vaini,TO,2021-07-09 21:46:14,-21.2,-175.2,71.76,64,75,6.91,broken clouds
91,Port Alfred,ZA,2021-07-09 21:46:14,-33.5906,26.891,54.84,66,2,6.26,clear sky
92,Hokitika,NZ,2021-07-09 21:46:15,-42.7167,170.9667,47.21,76,100,1.01,overcast clouds
93,Mildura,AU,2021-07-09 21:46:15,-34.2,142.15,31.96,100,0,3.44,clear sky
94,Mahanoro,MG,2021-07-09 21:46:15,-19.9,48.8,69.67,86,94,5.61,light rain
95,Canutama,BR,2021-07-09 21:46:15,-6.5339,-64.3831,82.72,57,76,0.81,broken clouds
96,Batsfjord,NO,2021-07-09 21:46:16,70.6345,29.7185,55.33,82,75,9.22,broken clouds
97,Aklavik,CA,2021-07-09 21:46:16,68.2191,-135.0107,68.72,52,75,9.22,shower rain
98,Pevek,RU,2021-07-09 21:46:17,69.7008,170.3133,51.46,65,69,23.26,broken clouds
99,Upernavik,GL,2021-07-09 21:46:17,72.7868,-56.1549,38.23,75,58,8.68,broken clouds
100,Caucaia,BR,2021-07-09 21:46:17,-3.7361,-38.6531,80.55,76,40,13.8,scattered clouds
101,Thompson,CA,2021-07-09 21:46:18,55.7435,-97.8558,89.76,31,75,14.97,broken clouds
102,Lata,PT,2021-07-09 21:46:18,40.1629,-8.3327,62.35,81,0,1.66,clear sky
103,Margate,GB,2021-07-09 21:46:18,51.3813,1.3862,62.69,81,100,1.01,overcast clouds
104,Sabang,ID,2021-07-09 21:46:19,5.8933,95.3214,81.32,80,100,23.09,overcast clouds
105,Mongu,ZM,2021-07-09 21:46:19,-15.2484,23.1274,53.64,38,0,5.55,clear sky
106,Komsomolskiy,UZ,2021-07-09 21:46:19,40.4272,71.7189,84.92,32,62,4.61,broken clouds
107,Bowen,AU,2021-07-09 21:46:20,-20.0167,148.2333,55.62,52,0,7.99,clear sky
108,East London,ZA,2021-07-09 21:46:20,-33.0153,27.9116,57.06,55,2,7.54,clear sky
109,Port Blair,IN,2021-07-09 21:46:20,11.6667,92.75,78.21,89,100,17.81,overcast clouds
110,Nanortalik,GL,2021-07-09 21:46:21,60.1432,-45.2371,42.84,91,65,7.4,broken clouds
111,Beloha,MG,2021-07-09 21:46:21,-25.1667,45.05,65.37,74,0,6.51,clear sky
112,Xingcheng,CN,2021-07-09 21:46:21,40.6167,120.7167,72.16,89,2,2.75,clear sky
113,Berlevag,NO,2021-07-09 21:46:22,70.8578,29.0864,55.4,82,75,11.5,broken clouds
114,Lac-Megantic,CA,2021-07-09 21:46:22,45.5834,-70.8823,69.21,98,100,5.06,overcast clouds
115,Nara,JP,2021-07-09 21:43:12,34.6851,135.8049,78.26,94,86,3.24,overcast clouds
116,Los Llanos De Aridane,ES,2021-07-09 21:46:22,28.6585,-17.9182,67.75,89,0,18.41,clear sky
117,Lampa,CL,2021-07-09 21:46:23,-33.2833,-70.9,57.16,62,75,9.22,broken clouds
118,Ovre Ardal,NO,2021-07-09 21:46:23,61.3167,7.8,58.55,74,67,4.18,broken clouds
119,Saint-Pierre,RE,2021-07-09 21:46:24,-21.3393,55.4781,71.28,69,0,13.8,clear sky
120,Palmer,US,2021-07-09 21:46:24,42.1584,-72.3287,83.26,68,40,1.01,scattered clouds
121,Broome,US,2021-07-09 21:46:24,42.2506,-75.833,74.46,86,90,1.99,overcast clouds
122,Lodeynoye Pole,RU,2021-07-09 21:46:24,60.726,33.5531,63.59,69,5,1.41,clear sky
123,Tautira,PF,2021-07-09 21:46:25,-17.7333,-149.15,84.22,75,30,16.75,scattered clouds
124,Bambanglipuro,ID,2021-07-09 21:46:25,-7.95,110.2833,58.6,93,86,4.36,overcast clouds
125,Castro,BR,2021-07-09 21:46:25,-24.7911,-50.0119,50.58,88,0,3.56,clear sky
126,Tuktoyaktuk,CA,2021-07-09 21:46:26,69.4541,-133.0374,66.2,48,75,4.61,broken clouds
127,Yellowknife,CA,2021-07-09 21:46:26,62.456,-114.3525,80.29,46,75,1.01,broken clouds
