City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,46.69,81,40,4.61,scattered clouds
80,Grand Gaube,MU,-20.0064,57.6608,72.37,65,53,11.99,broken clouds
81,Kununurra,AU,-15.7667,128.7333,60.78,82,45,0.0,scattered clouds
82,Ransang,PH,8.9603,117.5828,78.78,85,84,3.91,heavy intensity rain
83,Flinders,AU,-34.5833,150.8552,54.21,90,100,4.0,light rain
84,Surat,IN,21.1667,72.8333,82.83,76,63,9.71,broken clouds
85,Nishihara,JP,26.1842,127.7558,81.68,89,20,5.75,few clouds
86,Nikolskoye,RU,59.7035,30.7861,71.02,86,4,2.98,clear sky
87,Nuuk,GL,64.1835,-51.7216,44.98,76,45,7.56,scattered clouds
88,Carnarvon,AU,-24.8667,113.6333,59.07,76,90,11.5,overcast clouds
89,Yeppoon,AU,-23.1333,150.7333,53.38,57,0,6.58,clear sky
90,Vigrestad,NO,58.5667,5.7,58.59,92,17,9.75,few clouds
91,Khasan,RU,42.4308,130.6434,65.37,96,100,3.13,overcast clouds
92,Camacari,BR,-12.6975,-38.3242,76.77,82,83,5.48,broken clouds
93,Margate,GB,51.3813,1.3862,64.04,82,100,1.99,overcast clouds
94,Saint-Pierre,RE,-21.3393,55.4781,71.28,69,0,13.8,clear sky
95,Kapaa,US,22.0752,-159.319,84.18,88,45,4.0,scattered clouds
96,Olecko,PL,54.0337,22.507,65.8,91,58,7.87,broken clouds
97,Pangai,TO,-19.8,-174.35,73.51,73,75,11.5,broken clouds
98,Hithadhoo,MV,-0.6,73.0833,82.22,76,100,15.7,overcast clouds
99,Ritchie,ZA,-29.038,24.6028,36.61,55,0,4.25,clear sky
100,Avarua,CK,-21.2078,-159.775,78.85,73,75,3.44,broken clouds
101,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,89,0,18.41,clear sky
102,Albany,US,42.6001,-73.9662,80.76,85,46,5.5,scattered clouds
103,Loei,TH,17.4167,101.5,63.43,97,51,2.08,broken clouds
104,Okhotsk,RU,59.3833,143.3,55.83,86,96,2.21,overcast clouds
105,Tuatapere,NZ,-46.1333,167.6833,40.91,84,99,10.76,overcast clouds
106,Ancud,CL,-41.8697,-73.8203,46.22,71,16,18.25,light rain
107,Vaini,TO,-21.2,-175.2,71.76,64,75,6.91,broken clouds
108,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,67,16.69,broken clouds
109,Itaueira,BR,-7.6033,-43.0256,83.66,33,95,6.46,overcast clouds
110,Weinan,CN,34.5036,109.5089,80.29,53,100,3.38,overcast clouds
111,Coahuayana,MX,18.7333,-103.6833,87.28,67,82,4.99,broken clouds
112,Ljubuski,BA,43.1969,17.545,80.02,59,0,2.68,clear sky
113,Dovhe,UA,48.3653,23.279,74.71,75,24,3.98,few clouds
114,Changping,CN,40.2186,116.2197,76.96,82,33,10.0,scattered clouds
115,Sakakah,SA,29.9697,40.2064,94.57,16,0,10.76,clear sky
116,Menongue,AO,-14.6585,17.691,53.08,41,0,5.28,clear sky
117,Tazovskiy,RU,67.4667,78.7,50.94,97,100,15.84,overcast clouds
118,Padang,ID,-0.9492,100.3543,75.25,89,98,4.63,heavy intensity rain
119,Barquisimeto,VE,10.0739,-69.3228,66.83,100,98,11.5,light rain
120,Mount Gambier,AU,-37.8333,140.7667,35.51,93,0,6.91,clear sky
121,Georgetown,MY,5.4112,100.3354,77.9,89,40,0.0,scattered clouds
122,Jamestown,US,42.097,-79.2353,67.59,83,66,7.0,broken clouds
123,Roma,US,43.2128,-75.4557,77.95,89,37,1.01,scattered clouds
124,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,68,20,6.71,few clouds
125,Saldanha,ZA,-33.0117,17.9442,51.85,67,99,5.1,overcast clouds
126,Ponta Do Sol,PT,32.6667,-17.1,72.12,54,1,6.89,clear sky
127,Iwanai,JP,42.9744,140.5089,67.69,83,100,7.45,overcast clouds
128,Hasaki,JP,35.7333,140.8333,75.6,92,100,4.81,overcast clouds
129,Highview,US,38.1428,-85.6241,84.51,59,92,4.03,overcast clouds
130,Marsh Harbour,BS,26.5412,-77.0636,82.99,73,100,7.52,overcast clouds
131,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,10.36,broken clouds
132,Sampit,ID,-2.5333,112.95,71.29,97,66,2.28,broken clouds
133,Pampa,US,35.5362,-100.9599,95.58,46,1,13.8,clear sky
134,Lusaka,ZM,-15.4067,28.2871,53.19,56,0,5.88,clear sky
135,Banes,CU,20.9625,-75.7186,83.32,72,41,18.79,scattered clouds
136,Naze,JP,28.3667,129.4833,77.92,84,32,6.2,scattered clouds
137,Yellowknife,CA,62.456,-114.3525,80.29,46,75,1.99,broken clouds
138,Yatou,CN,37.15,122.3833,73.69,87,75,4.25,light rain
139,Novikovo,RU,51.1537,37.8879,66.67,78,1,5.08,clear sky
140,Mamou,GN,10.5,-12.0,69.64,99,65,3.31,broken clouds
141,Sawtell,AU,-30.3833,153.1,48.22,92,0,9.22,clear sky
142,Severomuysk,RU,56.1481,113.4267,45.01,79,95,4.7,overcast clouds
143,Bilma,NE,18.6853,12.9164,88.77,38,30,12.95,scattered clouds
144,Pevek,RU,69.7008,170.3133,51.46,65,69,23.26,broken clouds
145,Tiksi,RU,71.6872,128.8694,42.48,61,12,11.61,few clouds
146,Pacific Grove,US,36.6177,-121.9166,103.6,80,33,5.99,scattered clouds
147,Siniscola,IT,40.5719,9.6922,71.15,61,0,6.17,clear sky
148,Soyo,AO,-6.1349,12.3689,72.55,91,11,10.18,few clouds
149,Mahebourg,MU,-20.4081,57.7,72.25,68,40,16.11,scattered clouds
150,Loncoche,CL,-39.3667,-72.6333,49.78,96,15,2.66,few clouds
151,Chuy,UY,-33.6971,-53.4616,57.6,96,3,6.69,clear sky
152,Bom Jesus,BR,-9.0744,-44.3586,79.77,35,95,4.34,overcast clouds
153,Rocha,UY,-34.4833,-54.3333,57.36,91,1,7.52,clear sky
154,Port Lincoln,AU,-34.7333,135.8667,51.55,82,100,7.94,overcast clouds
155,Komsomolskiy,UZ,40.4272,71.7189,84.92,32,62,4.61,broken clouds
156,Acapulco,MX,16.8634,-99.8901,85.55,73,94,6.04,overcast clouds
157,Rorvik,NO,64.8621,11.2373,56.77,91,27,13.98,scattered clouds
158,Divo,CI,5.8397,-5.36,70.03,96,9,2.71,clear sky
159,Faanui,PF,-16.4833,-151.75,79.59,74,11,16.73,few clouds
160,Lazaro Cardenas,MX,17.9583,-102.2,85.03,71,99,6.6,overcast clouds
161,Edd,ER,13.9297,41.6925,90.14,62,100,4.92,overcast clouds
162,Eucaliptus,BO,-17.5833,-67.5167,58.69,20,0,4.41,clear sky
163,Torbay,CA,47.6666,-52.7314,60.28,84,90,20.71,overcast clouds
164,Sioux Lookout,CA,50.1001,-91.917,77.38,36,40,4.61,scattered clouds
165,Kaeo,NZ,-35.1,173.7833,52.32,91,100,4.27,overcast clouds
166,General Higinio Morinigo,PY,-25.95,-55.9167,61.92,63,0,4.45,clear sky
167,Mabaruma,GY,8.2,-59.7833,75.51,97,100,5.37,overcast clouds
168,Fortuna,US,40.5982,-124.1573,68.86,83,40,12.66,scattered clouds
169,Peniche,PT,39.3558,-9.3811,69.76,87,0,19.55,clear sky
170,Richards Bay,ZA,-28.783,32.0377,64.87,62,99,2.71,overcast clouds
171,Nelson Bay,AU,-32.7167,152.15,56.75,91,100,3.0,moderate rain
172,Hamilton,US,39.1834,-84.5333,75.99,73,69,5.75,broken clouds
173,Waipawa,NZ,-41.4122,175.5153,43.45,89,100,4.43,overcast clouds
174,Upernavik,GL,72.7868,-56.1549,38.23,75,58,8.68,broken clouds
175,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,58.17,95,1,7.05,clear sky
176,Chara,RU,56.9064,118.2631,49.32,88,100,6.22,moderate rain
177,Neumunster,DE,54.0667,9.9833,62.94,100,100,4.0,moderate rain
178,Marsaxlokk,MT,35.8419,14.5431,80.08,83,0,13.8,clear sky
179,Lebu,CL,-37.6167,-73.65,49.78,72,24,9.24,few clouds
180,Usinsk,RU,65.9939,57.5281,50.95,74,100,19.22,overcast clouds
181,Denpasar,ID,-8.65,115.2167,80.26,89,20,9.22,few clouds
182,Hanting,CN,36.7708,119.2108,75.54,89,3,5.41,clear sky
183,Mariveles,PH,14.4833,120.4833,76.89,83,12,9.51,few clouds
184,Thompson,CA,55.7435,-97.8558,89.76,31,75,14.97,broken clouds
185,Bonthe,SL,7.5264,-12.505,76.53,87,30,5.3,light rain
186,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,73,10.0,broken clouds
187,Hofn,IS,64.2539,-15.2082,52.5,90,53,14.09,broken clouds
188,Chokurdakh,RU,70.6333,147.9167,42.93,92,100,15.17,moderate rain
189,Yarmouth,US,41.7057,-70.2286,75.42,88,90,21.99,overcast clouds
190,Yining,CN,29.0361,114.5636,78.01,88,78,3.29,broken clouds
191,Mwinilunga,ZM,-11.7358,24.4293,53.62,47,0,3.71,clear sky
192,Coquimbo,CL,-29.9533,-71.3436,58.73,67,0,10.36,clear sky
193,Smithers,CA,54.7804,-127.1743,80.92,34,20,6.91,few clouds
194,Fairbanks,US,64.8378,-147.7164,70.61,43,16,1.99,few clouds
195,Caravelas,BR,-17.7125,-39.2481,70.05,74,6,6.33,clear sky
196,Mayo,US,38.8876,-76.5119,87.91,90,75,1.99,light rain
197,Abu Samrah,SY,35.3029,37.1841,78.3,58,0,9.13,clear sky
198,Laguna,US,38.421,-121.4238,113.43,18,20,3.0,few clouds
199,Dhidhdhoo,MV,6.8833,73.1,79.14,80,100,24.14,overcast clouds
200,Santa Ana,US,33.7456,-117.8678,108.77,46,13,3.0,few clouds
201,Priyutnoye,RU,46.1011,43.5072,76.86,37,67,4.41,broken clouds
202,Sorland,NO,67.667,12.6934,55.11,87,0,8.05,clear sky
203,Pitimbu,BR,-7.4706,-34.8086,77.59,81,51,9.6,broken clouds
204,Koungou,YT,-12.7336,45.2042,74.91,88,0,8.05,clear sky
205,Thinadhoo,MV,0.5333,72.9333,83.41,72,99,15.66,overcast clouds
206,Semey,KZ,50.4111,80.2275,61.29,75,11,6.67,light rain
207,The Pas,CA,53.8251,-101.2541,87.82,37,1,9.22,clear sky
208,Hobart,AU,-42.8794,147.3294,35.06,92,20,3.0,few clouds
209,Taoudenni,ML,22.6783,-3.9836,97.88,32,100,20.04,overcast clouds
210,Lagoa,PT,39.05,-27.9833,69.26,85,0,13.04,clear sky
211,Taree,AU,-31.9,152.4667,57.34,62,90,19.57,overcast clouds
212,Visby,SE,57.6409,18.296,70.02,94,90,9.22,overcast clouds
213,Mao,ES,39.8885,4.2658,72.16,68,0,2.3,clear sky
214,Canton,CN,23.1167,113.25,83.88,76,89,5.19,overcast clouds
215,Mindelo,CV,16.8901,-24.9804,74.75,69,40,35.68,scattered clouds
216,Tornio,FI,65.8481,24.1466,57.22,74,40,1.95,scattered clouds
217,Boa Esperanca,BR,-21.09,-45.5658,61.47,43,0,3.13,clear sky
218,Klungkung,ID,-8.5333,115.4,79.48,92,48,2.53,scattered clouds
219,Kenai,US,60.5544,-151.2583,61.03,86,100,9.66,light rain
220,Galveston,US,29.3669,-94.9669,77.2,93,100,12.19,light rain
221,Marzuq,YE,14.4,46.4667,82.63,50,100,3.96,overcast clouds
222,Luwuk,ID,-0.9516,122.7875,75.34,89,100,3.94,overcast clouds
223,San Cristobal,VE,7.7669,-72.225,75.38,77,99,3.76,overcast clouds
224,Saskylakh,RU,71.9167,114.0833,45.63,54,100,17.81,overcast clouds
225,Mpongwe,ZM,-13.5091,28.155,54.01,57,0,6.82,clear sky
226,Viransehir,TR,37.2353,39.7631,84.49,37,0,1.97,clear sky
227,Sola,VU,-13.8833,167.55,81.27,74,40,11.5,scattered clouds
228,Berbera,SO,10.4396,45.0143,89.4,44,96,21.85,light rain
229,Bethel,US,41.3712,-73.414,83.95,84,60,3.38,broken clouds
230,Samarai,PG,-10.6167,150.6667,79.88,84,96,9.73,overcast clouds
231,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,48,75,4.61,broken clouds
232,Grand-Santi,GF,4.25,-54.3833,74.68,96,68,3.15,heavy intensity rain
233,Pemberton,CA,50.3164,-122.8027,85.69,36,1,2.59,clear sky
234,Leiyang,CN,26.4024,112.8591,78.42,80,92,5.5,overcast clouds
235,Orlik,RU,52.5178,99.825,46.72,92,25,1.01,scattered clouds
236,Princeton,US,25.5384,-80.4089,91.0,71,82,1.01,broken clouds
237,Tilichiki,RU,60.4667,166.1,65.17,47,93,7.47,overcast clouds
238,Bonavista,CA,48.6499,-53.1147,59.11,72,65,16.53,broken clouds
239,Kiunga,PG,-6.1219,141.2906,73.96,99,96,1.81,overcast clouds
240,Andenes,NO,69.3143,16.1194,53.58,94,90,12.66,overcast clouds
241,Paramonga,PE,-10.6667,-77.8333,65.88,77,8,11.48,clear sky
242,Nouadhibou,MR,20.931,-17.0347,67.98,83,0,25.32,sand
243,Bagdarin,RU,54.4333,113.6,48.9,79,7,4.65,clear sky
244,Navirai,BR,-23.065,-54.1906,65.68,47,0,5.03,clear sky
245,Beipiao,CN,41.7919,120.7792,69.57,87,4,0.69,clear sky
246,Leningradskiy,RU,69.3833,178.4167,49.42,73,100,12.08,overcast clouds
247,Haverhill,US,42.7762,-71.0773,75.85,82,40,5.99,scattered clouds
248,Port Augusta,AU,-32.5,137.7667,40.71,83,69,2.42,broken clouds
249,Cherskiy,RU,68.75,161.3,84.92,33,32,18.59,scattered clouds
250,Maicao,CO,11.3832,-72.2432,82.99,67,96,21.45,overcast clouds
251,Aktau,KZ,43.65,51.2,70.38,70,20,17.54,few clouds
252,Harper,LR,4.375,-7.7169,77.59,78,99,11.72,overcast clouds
253,Sayan,PE,-11.1361,-77.1933,73.27,45,3,5.08,clear sky
254,Ostrovnoy,RU,68.0531,39.5131,48.07,83,99,15.3,overcast clouds
255,Tucurui,BR,-3.7661,-49.6725,81.19,60,84,2.77,broken clouds
256,Florence,IT,43.7667,11.25,70.7,54,5,1.14,clear sky
257,Kruisfontein,ZA,-34.0033,24.7314,45.37,75,1,5.46,clear sky
258,Krasnoselkup,RU,65.7,82.4667,57.4,56,98,21.27,overcast clouds
259,Dunedin,NZ,-45.8742,170.5036,42.8,58,73,28.99,broken clouds
260,Cabo San Lucas,MX,22.8909,-109.9124,94.8,71,75,10.63,broken clouds
261,Tunduma,TZ,-9.3,32.7667,47.25,72,0,6.73,clear sky
262,Finschhafen,PG,-6.6024,147.8681,80.8,75,44,10.16,scattered clouds
263,Berlevag,NO,70.8578,29.0864,53.33,85,99,10.67,overcast clouds
264,Havelock,US,34.8791,-76.9013,88.99,83,82,10.0,broken clouds
265,Codrington,AU,-38.2667,141.9667,38.64,86,0,5.48,clear sky
266,Mar Del Plata,AR,-38.0023,-57.5575,62.62,88,0,6.91,clear sky
267,Gimli,CA,50.6336,-96.9907,86.43,36,63,6.91,broken clouds
268,Amga,RU,60.8953,131.9608,69.19,87,48,3.78,scattered clouds
269,Chapais,CA,49.7834,-74.8492,71.38,25,4,7.87,clear sky
270,Birao,CF,10.2849,22.7882,75.9,73,25,5.44,scattered clouds
271,Kaitangata,NZ,-46.2817,169.8464,42.93,67,72,15.82,broken clouds
272,Nyakabindi,TZ,-2.6333,33.9833,66.45,60,86,5.1,overcast clouds
273,Dongsheng,CN,39.8161,109.9776,78.01,24,86,5.91,overcast clouds
274,Nome,US,64.5011,-165.4064,55.17,69,100,5.14,overcast clouds
275,Elizabeth City,US,36.2946,-76.2511,91.42,68,40,11.5,light rain
276,Brazzaville,CG,-4.2658,15.2832,73.71,88,33,3.44,scattered clouds
277,Boyuibe,BO,-20.4167,-63.2833,85.91,45,0,9.24,clear sky
278,Deputatskiy,RU,69.3,139.9,38.57,91,100,7.9,light rain
279,Waingapu,ID,-9.6567,120.2641,74.73,88,63,5.73,broken clouds
280,Obigarm,TJ,38.7173,69.7088,71.42,40,10,1.45,clear sky
281,Belmonte,BR,-15.8631,-38.8828,72.1,71,4,8.08,clear sky
282,Mehamn,NO,71.0357,27.8492,53.42,89,100,12.08,overcast clouds
283,Cayenne,GF,4.9333,-52.3333,82.44,83,0,1.99,clear sky
284,Baherden,TM,38.4362,57.4316,79.02,27,0,10.31,clear sky
285,Vestmanna,FO,62.1564,-7.1664,50.92,87,90,3.44,overcast clouds
286,Lavrentiya,RU,65.5833,-171.0,46.27,63,37,6.31,scattered clouds
287,Klaksvik,FO,62.2266,-6.589,52.72,76,100,6.76,overcast clouds
288,Sheregesh,RU,52.9209,87.9869,52.36,89,100,3.87,overcast clouds
289,Banda Aceh,ID,5.5577,95.3222,78.37,86,99,13.94,overcast clouds
290,Cabedelo,BR,-6.9811,-34.8339,77.67,80,38,11.1,scattered clouds
291,Maragogi,BR,-9.0122,-35.2225,74.52,86,19,7.02,few clouds
292,Quelimane,MZ,-17.8786,36.8883,67.95,88,0,1.99,clear sky
293,Cascais,PT,38.6979,-9.4215,72.75,43,0,18.99,clear sky
294,Coihaique,CL,-45.5752,-72.0662,38.01,93,90,9.22,light rain
295,Ardakan,IR,32.31,54.0175,97.18,18,0,2.21,clear sky
296,Kattivakkam,IN,13.2167,80.3167,78.89,84,100,18.39,moderate rain
297,Kalangala,UG,-0.3089,32.225,72.75,64,38,10.76,scattered clouds
298,Ketchikan,US,55.3422,-131.6461,62.19,80,100,4.61,light rain
299,Ratnagiri,IN,16.9833,73.3,79.92,79,100,4.68,light rain
300,Swellendam,ZA,-34.0226,20.4417,46.78,71,0,4.38,clear sky
301,Sergeyevka,KZ,53.88,67.4158,60.93,68,74,5.64,broken clouds
302,Casma,CL,-41.0082,-73.1244,47.48,90,15,3.8,light rain
303,Itaqui,BR,-29.1253,-56.5531,63.64,68,0,9.13,clear sky
304,Namwala,ZM,-15.7504,26.4384,54.73,52,0,4.7,clear sky
305,Axim,GH,4.8699,-2.2405,76.75,82,55,9.1,broken clouds
306,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,87,2,11.16,clear sky
307,Paringao,PH,16.5717,120.3242,80.4,79,30,6.13,scattered clouds
308,Somerville,US,42.3876,-71.0995,76.51,90,100,3.0,overcast clouds
309,Neyshabur,IR,36.2133,58.7958,77.49,35,0,2.77,clear sky
310,Meulaboh,ID,4.1363,96.1285,75.92,92,100,7.18,overcast clouds
311,Portland,US,45.5234,-122.6762,90.86,44,61,1.01,broken clouds
312,Perth,AU,-31.9333,115.8333,52.27,95,20,0.0,light rain
313,Goderich,CA,43.7501,-81.7165,65.91,80,41,12.17,scattered clouds
314,Mosquera,CO,4.7059,-74.2302,60.89,67,75,8.05,heavy intensity drizzle
315,Kabalo,CD,-6.05,26.9167,74.57,37,0,5.48,clear sky
316,Kampot,KH,10.6167,104.1833,78.85,93,100,4.14,light rain
317,Ambon,ID,-3.6954,128.1814,75.34,94,40,11.5,thunderstorm with light rain
318,Bubanza,BI,-3.1167,29.4,69.35,74,80,1.72,broken clouds
319,Arona,ES,28.0996,-16.681,69.03,72,20,5.99,few clouds
320,Batemans Bay,AU,-35.7167,150.1833,52.92,91,100,8.34,light rain
321,Requena,ES,39.4883,-1.1004,68.7,78,0,4.85,clear sky
322,Tarata,BO,-17.6167,-66.0167,64.15,33,0,3.71,clear sky
323,Beringovskiy,RU,63.05,179.3167,42.42,88,80,4.65,broken clouds
324,Ilhabela,BR,-23.7781,-45.3581,64.67,88,11,3.85,few clouds
325,Machiques,VE,10.0644,-72.545,83.68,70,100,10.89,overcast clouds
